ta,rh,v,met,clo,thermal_sensation
29.2,58.2,0.16,1.6,0.7,0
28.6,59.4,0.21,1.9,0.7,0
28.4,60.2,0.3,1.6,0.7,0
29.3,55.0,0.4,1.1,0.42,1
29.4,54.4,0.08,1.6,0.57,0
29.8,54.3,0.15,1.6,0.7,0
29.8,54.3,0.15,1.1,0.64,0
29.0,58.2,0.15,1.3,0.78,0
28.2,62.9,0.24,1.1,0.63,2
28.9,60.7,0.32,1.1,0.67,0
29.2,60.8,0.17,1.1,0.49,0
28.7,60.1,0.11,1.3,0.49,1
26.3,48.5,0.03,1.3,0.52,1
28.8,62.2,0.36,1.1,0.63,0
28.5,62.1,0.36,1.1,0.55,0
25.6,59.8,0.08,1.1,0.78,0
26.0,58.3,0.38,1.4,0.68,1
25.9,58.5,0.73,1.3,0.59,1
26.3,58.4,0.07,1.1,0.68,0
26.4,57.6,0.42,1.1,0.57,0
26.2,58.1,0.48,1.1,0.55,-1
26.3,57.8,0.77,1.1,0.68,1
26.3,58.8,0.17,1.1,0.57,0
26.6,58.2,0.08,1.1,0.68,1
26.5,58.0,0.09,1.4,0.53,3
26.6,57.5,0.08,1.7,0.74,-1
26.5,57.5,0.07,1.4,0.53,0
26.3,58.0,0.22,1.7,0.59,3
26.4,58.0,0.11,1.6,0.57,2
27.0,55.4,0.17,1.1,0.53,0
26.2,57.7,0.1,1.1,0.74,1
26.1,58.5,0.07,1.1,0.76,2
25.9,58.8,0.07,1.1,0.57,0
25.8,59.0,0.14,1.6,0.74,0
26.1,58.6,0.24,1.1,0.74,0
25.9,58.7,0.42,1.1,0.62,0
26.6,56.7,0.21,1.1,0.63,0
26.3,57.5,0.42,1.1,0.68,3
26.0,58.4,0.03,1.1,0.53,0
25.9,59.4,0.11,1.9,0.62,1
25.2,60.8,0.1,1.6,0.74,0
24.3,64.1,0.46,1.1,0.63,1
25.8,58.4,0.09,1.1,0.68,1
26.1,57.4,0.23,1.4,0.68,0
26.1,57.5,0.42,1.1,0.59,-1
26.1,57.7,0.41,1.1,0.68,1
23.3,43.7,0.16,1.1,0.57,0
22.8,44.1,0.21,1.1,0.68,0
22.1,45.0,0.05,1.1,0.57,-1
23.2,44.7,0.11,1.1,0.57,0
22.6,45.3,0.08,1.1,0.68,-3
23.0,44.5,0.07,1.1,0.59,0
23.3,44.7,0.08,1.1,0.63,-1
23.5,43.1,0.12,1.1,0.68,2
23.3,43.0,0.1,1.1,0.74,-1
23.4,43.6,0.1,1.3,0.57,-3
26.9,38.2,0.11,1.9,0.57,-1
25.3,42.5,0.06,1.9,0.74,1
24.5,43.7,0.06,1.1,0.68,0
24.3,64.1,0.46,1.8,0.68,0
24.4,43.9,0.09,1.1,0.74,0
23.6,44.8,0.08,1.9,0.57,0
23.8,44.0,0.1,1.9,0.68,-1
23.8,43.5,0.13,1.1,0.73,-1
23.8,45.2,0.06,1.9,0.57,-3
23.6,43.5,0.14,1.9,0.74,0
23.6,43.9,0.06,1.4,0.57,-1
23.7,43.5,0.1,1.6,0.74,0
23.8,43.4,0.12,1.4,0.59,0
23.2,43.9,0.09,1.1,0.74,0
23.1,43.4,0.06,1.1,0.74,-1
23.6,42.5,0.08,1.1,0.68,-1
26.3,56.7,0.35,1.4,0.7,0
26.0,57.8,0.29,1.1,0.7,0
24.2,44.2,0.11,1.9,0.57,0
28.6,61.7,0.5,1.1,0.55,0
25.6,60.1,0.13,1.4,0.63,2
25.8,59.9,0.12,1.4,0.57,0
24.6,64.4,0.17,1.1,0.64,0
25.0,63.8,0.1,1.4,0.64,3
25.3,62.7,0.11,1.1,0.57,0
25.6,62.4,0.05,1.1,0.64,0
25.9,61.1,0.06,1.1,0.57,0
25.7,62.1,0.17,1.3,0.64,0
25.5,62.3,0.17,1.1,0.7,0
25.2,63.6,0.17,1.1,0.7,0
25.1,63.8,0.08,1.1,0.57,0
25.2,63.5,0.13,1.0,0.7,0
24.9,64.3,0.45,1.3,0.64,-1
25.0,63.7,0.36,1.1,0.64,0
24.5,63.7,0.55,1.3,0.64,0
24.5,64.3,0.22,1.2,0.64,0
24.8,65.1,0.12,1.6,0.7,0
25.2,63.8,0.11,1.1,0.53,1
28.1,52.9,0.18,1.6,0.7,0
26.7,57.8,0.09,1.5,0.53,0
26.1,60.3,0.17,1.4,0.64,1
25.6,61.1,0.28,1.3,0.7,-1
25.4,61.7,0.03,1.5,0.7,1
25.1,62.0,0.11,1.4,0.64,-1
25.2,61.8,0.07,1.3,0.7,0
25.3,61.9,0.84,1.1,0.64,0
26.0,59.4,0.66,1.4,0.64,0
25.1,61.9,0.09,1.5,0.7,0
28.3,63.1,0.41,1.1,0.48,0
24.8,58.7,0.14,1.3,0.7,0
25.0,63.3,0.19,1.1,0.57,0
25.3,63.0,0.07,1.1,0.57,0
